tarih,coin,secilen_strateji,test_getirisi_yuzde,en_iyi_5
2026-09-12 14:43:42,BNB/USDT,Donchian 55/20,19.44,Donchian 55/20:+19.4% | ATR kirilma:+17.5% | Momentum 90:+17.0% | MACD:+16.7% | Destek/Direnc kirilmasi:+16.0%
2026-09-12 14:43:42,牛来/USDT,Donchian 20/10,35.92,Donchian 20/10:+35.9% | MACD:+33.6% | ATR kirilma:+28.7% | Destek/Direnc kirilmasi:+10.9% | Fair Value Gap:+5.5%
2026-09-12 14:43:42,NEAR/USDT,Dusuk oynaklik,43.47,Dusuk oynaklik:+43.5% | MA kesisme 50/200:+23.6% | Momentum 90:+22.0% | MACD:+21.8% | ATR kirilma:+19.4%
2026-09-12 14:43:42,SUI/USDT,SMA trend 100,21.32,SMA trend 100:+21.3% | MA kesisme 20/100:+14.0% | Momentum 90:+13.9% | Donchian 55/20:+13.2% | Donchian 20/10:+8.1%
2026-09-12 14:43:42,TRX/USDT,Dusuk oynaklik,3.2,Dusuk oynaklik:+3.2% | Destek/Direnc kirilmasi:+2.7% | Donchian 20/10:+2.0% | MA kesisme 20/100:+1.4% | Donchian 55/20:+0.5%
2026-09-12 14:43:42,UNI/USDT,SMA trend 200,85.17,SMA trend 200:+85.2% | MA kesisme 20/100:+81.6% | Momentum 90:+81.3% | Dusuk oynaklik:+81.1% | SMA trend 100:+79.7%
2026-09-12 14:43:42,HOLO/USDT,Bollinger 20/2,17.16,Bollinger 20/2:+17.2% | Dusuk oynaklik:+13.7% | SFP (likidite avi):+8.3% | MA kesisme 20/100:+1.7% | RSI 20/50:+0.0%
2026-09-12 14:43:42,DOGE/USDT,Donchian 20/10,27.36,Donchian 20/10:+27.4% | MA kesisme 20/100:+27.1% | SMA trend 100:+26.3% | Momentum 90:+23.2% | MA kesisme 50/200:+18.7%
2026-09-12 14:43:42,ENA/USDT,SMA trend 200,70.85,SMA trend 200:+70.8% | Destek/Direnc kirilmasi:+68.6% | ATR kirilma:+68.2% | SMA trend 100:+63.0% | Donchian 20/10:+62.8%
2026-09-12 14:43:42,ADA/USDT,MA kesisme 20/100,26.55,MA kesisme 20/100:+26.5% | Momentum 90:+20.1% | SMA trend 100:+17.4% | SMA trend 200:+13.0% | Donchian 55/20:+12.8%
2026-09-12 14:43:42,REZ/USDT,Dusuk oynaklik,39.8,Dusuk oynaklik:+39.8% | Bollinger 20/2:+36.4% | Momentum 180:+14.8% | MA kesisme 50/200:+13.6% | MA kesisme 20/100:+9.1%
2026-09-12 14:43:42,LINK/USDT,SMA trend 100,36.73,SMA trend 100:+36.7% | SMA trend 200:+34.7% | Destek/Direnc kirilmasi:+29.1% | Momentum 90:+28.7% | MA kesisme 50/200:+26.2%
2026-09-12 14:43:42,MARSCOIN/USDT,ATR kirilma,4.39,ATR kirilma:+4.4% | MA kesisme 20/100:+0.0% | Donchian 55/20:+0.0% | Momentum 90:+0.0% | RSI 20/50:+0.0%
2026-09-12 14:43:42,PEPE/USDT,Fair Value Gap,35.77,Fair Value Gap:+35.8% | Donchian 55/20:+35.1% | Momentum 90:+31.3% | SMA trend 200:+27.0% | MA kesisme 50/200:+22.1%
2026-09-12 14:43:42,ETHFI/USDT,MA kesisme 50/200,87.88,MA kesisme 50/200:+87.9% | MA kesisme 20/100:+69.5% | Momentum 180:+62.2% | Momentum 90:+61.3% | SMA trend 200:+47.4%
2026-09-12 14:43:42,PUMP/USDT,Donchian 20/10,49.53,Donchian 20/10:+49.5% | MA kesisme 50/200:+44.9% | Momentum 180:+33.9% | ATR kirilma:+29.4% | SMA trend 200:+26.9%
2026-09-12 14:43:42,RAY/USDT,MA kesisme 20/100,125.5,MA kesisme 20/100:+125.5% | MA kesisme 50/200:+120.6% | Momentum 90:+117.5% | Momentum 180:+113.9% | SMA trend 200:+107.5%
2026-09-12 14:43:42,TAO/USDT,Momentum 90,20.0,Momentum 90:+20.0% | SMA trend 100:+17.4% | Dusuk oynaklik:+13.2% | MA kesisme 50/200:+12.6% | SMA trend 200:+12.4%
2026-09-12 14:43:42,WLD/USDT,SMA trend 100,30.32,SMA trend 100:+30.3% | RSI 30/60:+20.4% | Momentum 180:+14.3% | Dusuk oynaklik:+13.5% | SMA trend 200:+10.5%
2026-09-12 14:43:42,ARB/USDT,MA kesisme 20/100,99.73,MA kesisme 20/100:+99.7% | SMA trend 100:+98.1% | Momentum 90:+94.7% | Donchian 55/20:+86.5% | SMA trend 200:+83.3%
2026-09-12 14:43:42,AVAX/USDT,SMA trend 100,11.73,SMA trend 100:+11.7% | Dusuk oynaklik:+11.0% | Momentum 180:+9.1% | RSI 30/60:+6.7% | SMA trend 200:+6.5%
2026-09-12 14:43:42,U/USDT,Donchian 55/20,0.0,Donchian 55/20:+0.0% | RSI 20/50:+0.0% | SFP (likidite avi):+0.0% | Fair Value Gap:+0.0% | Donchian 20/10:-0.1%
2026-09-12 14:43:42,LTC/USDT,MA kesisme 20/100,23.56,MA kesisme 20/100:+23.6% | Momentum 90:+20.3% | Donchian 20/10:+15.7% | Dusuk oynaklik:+14.4% | Momentum 180:+14.0%
2026-09-12 14:43:42,VTHO/USDT,MA kesisme 20/100,105.79,MA kesisme 20/100:+105.8% | SMA trend 200:+104.6% | Momentum 180:+103.2% | Momentum 90:+100.9% | SMA trend 100:+96.0%
2026-09-12 14:43:42,LSK/USDT,MA kesisme 50/200,181.78,MA kesisme 50/200:+181.8% | MA kesisme 20/100:+153.4% | Momentum 180:+147.3% | SMA trend 200:+140.9% | Destek/Direnc kirilmasi:+128.9%
2026-09-12 14:43:42,BCH/USDT,MA kesisme 20/100,25.12,MA kesisme 20/100:+25.1% | SMA trend 200:+18.4% | Donchian 55/20:+17.9% | Momentum 90:+15.2% | SMA trend 100:+12.1%
2026-09-12 14:43:42,XLM/USDT,MA kesisme 20/100,16.07,MA kesisme 20/100:+16.1% | SMA trend 100:+14.4% | Donchian 55/20:+13.6% | Momentum 90:+12.3% | ATR kirilma:+10.9%
2026-09-12 14:43:42,AAVE/USDT,MA kesisme 20/100,42.37,MA kesisme 20/100:+42.4% | Destek/Direnc kirilmasi:+40.5% | SMA trend 100:+37.1% | Momentum 90:+32.3% | MA kesisme 50/200:+31.9%
2026-09-12 14:43:42,TRUMP/USDT,SMA trend 200,61.34,SMA trend 200:+61.3% | MACD:+52.4% | MA kesisme 20/100:+45.2% | SMA trend 50:+43.2% | Donchian 55/20:+43.0%
2026-09-12 14:43:42,DASH/USDT,SMA trend 100,78.35,SMA trend 100:+78.3% | Donchian 55/20:+77.3% | SMA trend 200:+75.2% | Momentum 90:+70.6% | Donchian 20/10:+68.5%
2026-09-12 14:43:42,SOPH/USDT,Dusuk oynaklik,67.39,Dusuk oynaklik:+67.4% | MACD:+58.7% | SMA trend 50:+55.2% | ATR kirilma:+38.0% | Destek/Direnc kirilmasi:+26.5%
2026-09-12 14:43:42,MET/USDT,Dusuk oynaklik,57.0,Dusuk oynaklik:+57.0% | MA kesisme 50/200:+41.1% | MA kesisme 20/100:+26.2% | Bollinger 20/2:+25.5% | Momentum 180:+24.3%
2026-09-12 14:43:42,WLFI/USDT,Bollinger 20/2,17.9,Bollinger 20/2:+17.9% | RSI 30/60:+16.2% | RSI 20/50:+9.3% | MA kesisme 50/200:+7.6% | Momentum 180:-0.7%
2026-09-12 14:43:42,DOT/USDT,MA kesisme 20/100,42.94,MA kesisme 20/100:+42.9% | Dusuk oynaklik:+40.2% | Donchian 55/20:+33.0% | MA kesisme 50/200:+30.6% | Destek/Direnc kirilmasi:+29.5%
2026-09-17 18:27:46,BTC/USDT,MA kesisme 50/200,16.72,MA kesisme 50/200:+16.7% | ATR kirilma:+15.2% | Momentum 90:+15.1% | Destek/Direnc kirilmasi:+13.2% | SMA trend 100:+12.7%
2026-09-17 18:27:46,ZEC/USDT,MA kesisme 50/200,154.86,MA kesisme 50/200:+154.9% | Destek/Direnc kirilmasi:+149.0% | Momentum 90:+142.7% | Momentum 180:+142.1% | SMA trend 200:+132.1%
2026-09-17 18:27:46,ETH/USDT,MA kesisme 50/200,22.0,MA kesisme 50/200:+22.0% | Momentum 90:+21.0% | Destek/Direnc kirilmasi:+17.4% | ATR kirilma:+15.8% | Donchian 20/10:+14.5%
2026-09-17 18:27:46,SOL/USDT,MACD,29.08,MACD:+29.1% | Donchian 20/10:+26.0% | MA kesisme 50/200:+25.1% | Destek/Direnc kirilmasi:+24.6% | ATR kirilma:+24.3%
2026-09-17 18:27:46,XRP/USDT,Donchian 20/10,39.3,Donchian 20/10:+39.3% | ATR kirilma:+37.1% | Donchian 55/20:+33.9% | SMA trend 100:+26.7% | Momentum 90:+26.1%
2026-09-17 18:27:46,NEAR/USDT,MACD,65.38,MACD:+65.4% | Dusuk oynaklik:+59.5% | ATR kirilma:+56.5% | Momentum 180:+46.2% | SMA trend 200:+41.4%
2026-09-17 18:27:46,UNI/USDT,Momentum 90,104.1,Momentum 90:+104.1% | SMA trend 200:+102.3% | MA kesisme 20/100:+101.5% | SMA trend 100:+96.3% | MACD:+88.3%
2026-09-17 18:27:46,BNB/USDT,Donchian 55/20,19.44,Donchian 55/20:+19.4% | ATR kirilma:+18.2% | Momentum 90:+17.3% | Destek/Direnc kirilmasi:+16.1% | Donchian 20/10:+15.6%
2026-09-17 18:27:46,THE/USDT,Bollinger 20/2,23.39,Bollinger 20/2:+23.4% | Hacim-Fiyat Uyumsuzlugu:+7.1% | MA kesisme 50/200:+5.5% | Fair Value Gap:+5.1% | Tepe/Dip (rejim uyarlanabilir):+4.8%
2026-09-17 18:27:46,DOGE/USDT,Donchian 20/10,27.16,Donchian 20/10:+27.2% | SMA trend 100:+26.1% | Momentum 90:+25.6% | MA kesisme 20/100:+25.1% | Destek/Direnc kirilmasi:+19.4%
2026-09-17 18:27:46,SUI/USDT,SMA trend 100,25.2,SMA trend 100:+25.2% | RSI 30/60:+16.0% | Momentum 90:+16.0% | ATR kirilma:+15.6% | Major Trend Surucusu:+15.2%
2026-09-17 18:27:46,ENA/USDT,ATR kirilma,85.13,ATR kirilma:+85.1% | Donchian 20/10:+78.2% | SMA trend 200:+78.0% | Destek/Direnc kirilmasi:+75.8% | SMA trend 100:+66.1%
2026-09-17 18:27:46,ARB/USDT,MA kesisme 20/100,149.87,MA kesisme 20/100:+149.9% | Momentum 90:+144.2% | Donchian 55/20:+133.5% | SMA trend 100:+132.9% | SMA trend 200:+115.5%
2026-09-17 18:27:46,LSK/USDT,Momentum 90,616.41,Momentum 90:+616.4% | Destek/Direnc kirilmasi:+584.5% | MACD:+519.2% | Major Trend Surucusu:+513.0% | ATR kirilma:+495.7%
2026-09-17 18:27:46,WLD/USDT,SMA trend 100,28.47,SMA trend 100:+28.5% | RSI 30/60:+26.8% | Hacim-Fiyat Uyumsuzlugu:+19.1% | Destek/Direnc kirilmasi:+11.1% | Momentum 180:+10.7%
2026-09-17 18:27:46,CRCLB/USDT,MACD,16.35,MACD:+16.3% | ATR kirilma:+13.8% | Donchian 20/10:+13.0% | Fair Value Gap:+12.4% | SMA trend 200:+10.7%
2026-09-17 18:27:46,XAUT/USDT,MA kesisme 50/200,1.16,MA kesisme 50/200:+1.2% | Momentum 180:+0.6% | RSI 20/50:+0.2% | RSI 30/60:-0.0% | Kirilim-GeriCekilme-Toparlanma:-0.3%
2026-09-17 18:27:46,PAXG/USDT,MA kesisme 50/200,1.55,MA kesisme 50/200:+1.5% | RSI 30/60:+1.5% | Momentum 180:+0.7% | Destek/Direnc kirilmasi:+0.5% | RSI 20/50:+0.5%
2026-09-17 18:27:46,DASH/USDT,SMA trend 100,92.75,SMA trend 100:+92.8% | Donchian 55/20:+90.2% | SMA trend 200:+89.9% | Donchian 20/10:+88.8% | SMA trend 50:+83.1%
2026-09-17 18:27:46,MARSCOIN/USDT,Major Trend Surucusu,8.98,Major Trend Surucusu:+9.0% | ATR kirilma:+7.8% | Momentum 90:+7.4% | MA kesisme 20/100:+6.9% | Donchian 55/20:+6.9%
2026-09-17 18:27:46,SYN/USDT,MA kesisme 20/100,94.86,MA kesisme 20/100:+94.9% | Donchian 20/10:+91.0% | Momentum 90:+85.8% | SMA trend 200:+71.3% | MA kesisme 50/200:+61.9%
2026-09-17 18:27:46,PUMP/USDT,Donchian 20/10,48.9,Donchian 20/10:+48.9% | MA kesisme 50/200:+43.7% | Donchian 55/20:+42.1% | SMA trend 200:+37.8% | Destek/Direnc kirilmasi:+30.9%
2026-09-17 18:27:46,ONDO/USDT,Momentum 90,20.36,Momentum 90:+20.4% | MACD:+11.8% | RSI 30/60:+6.8% | SMA trend 200:+6.8% | SMA trend 100:+6.3%
2026-09-17 18:27:46,ONE/USDT,Major Trend Surucusu,119.28,Major Trend Surucusu:+119.3% | Donchian 55/20:+114.2% | MACD:+111.7% | MA kesisme 50/200:+109.8% | Donchian 20/10:+104.7%
2026-09-17 18:27:46,PEPE/USDT,Major Trend Surucusu,40.1,Major Trend Surucusu:+40.1% | Fair Value Gap:+39.6% | MACD:+37.5% | Donchian 55/20:+32.0% | Destek/Direnc kirilmasi:+31.7%
2026-09-17 18:27:46,U/USDT,Donchian 55/20,0.0,Donchian 55/20:+0.0% | RSI 20/50:+0.0% | SFP (likidite avi):+0.0% | Donchian 20/10:-0.0% | Dusuk oynaklik:-0.0%
2026-09-17 18:27:46,ADA/USDT,MA kesisme 20/100,23.62,MA kesisme 20/100:+23.6% | Momentum 90:+19.0% | SMA trend 100:+15.0% | Major Trend Surucusu:+12.2% | SMA trend 200:+10.6%
2026-09-17 18:27:46,AVA/USDT,MACD,85.55,MACD:+85.5% | Destek/Direnc kirilmasi:+79.8% | Donchian 20/10:+77.7% | ATR kirilma:+66.8% | SMA trend 200:+54.2%
2026-09-17 18:27:46,AVAX/USDT,SMA trend 100,14.65,SMA trend 100:+14.6% | ATR kirilma:+10.6% | SMA trend 200:+9.4% | Momentum 180:+9.2% | Momentum 90:+7.7%
2026-09-17 18:27:46,SNDKB/USDT,Hacim-Fiyat Uyumsuzlugu,5.98,Hacim-Fiyat Uyumsuzlugu:+6.0% | RSI 20/50:+4.3% | RSI 30/60:+3.3% | Tepe/Dip (rejim uyarlanabilir):+2.6% | Donchian 55/20:+1.6%
2026-09-17 18:27:46,LINK/USDT,SMA trend 100,24.86,SMA trend 100:+24.9% | SMA trend 200:+24.4% | Destek/Direnc kirilmasi:+22.3% | ATR kirilma:+19.2% | Donchian 20/10:+18.3%
2026-09-17 18:27:46,TAO/USDT,Momentum 90,19.4,Momentum 90:+19.4% | SMA trend 100:+18.8% | ATR kirilma:+15.7% | SMA trend 200:+15.6% | MA kesisme 20/100:+14.6%
2026-09-17 18:27:46,TRX/USDT,Hacim-Fiyat Uyumsuzlugu,6.17,Hacim-Fiyat Uyumsuzlugu:+6.2% | Tepe/Dip (rejim uyarlanabilir):+5.4% | Destek/Direnc kirilmasi:+1.9% | MA kesisme 20/100:+1.5% | SMA trend 100:+0.9%
2026-09-17 18:27:46,牛来/USDT,Bollinger 20/2,22.55,Bollinger 20/2:+22.5% | Donchian 20/10:+9.8% | RSI 30/60:+7.8% | MA kesisme 20/100:+4.3% | MACD:+0.4%
2026-09-17 18:27:46,XLM/USDT,ATR kirilma,23.23,ATR kirilma:+23.2% | Donchian 20/10:+18.8% | Destek/Direnc kirilmasi:+17.0% | SMA trend 100:+13.4% | Fair Value Gap:+12.8%
2026-09-17 18:27:46,TRUMP/USDT,SMA trend 200,61.34,SMA trend 200:+61.3% | MACD:+51.4% | ATR kirilma:+48.1% | Fair Value Gap:+46.9% | SMA trend 50:+46.1%
2026-09-17 18:27:46,REZ/USDT,Bollinger 20/2,39.3,Bollinger 20/2:+39.3% | MA kesisme 50/200:+27.0% | Momentum 180:+25.3% | Dusuk oynaklik:+18.2% | MA kesisme 20/100:+18.1%
2026-09-17 18:27:46,LTC/USDT,MA kesisme 20/100,21.87,MA kesisme 20/100:+21.9% | Donchian 20/10:+18.1% | Momentum 90:+17.1% | SMA trend 100:+17.0% | MA kesisme 50/200:+13.2%
2026-09-17 18:27:46,MSTRB/USDT,ATR kirilma,31.4,ATR kirilma:+31.4% | SMA trend 200:+28.9% | MACD:+27.8% | Momentum 90:+23.1% | MA kesisme 50/200:+22.2%
2026-09-17 18:27:46,AAVE/USDT,Destek/Direnc kirilmasi,46.86,Destek/Direnc kirilmasi:+46.9% | MA kesisme 20/100:+36.3% | Donchian 20/10:+32.9% | SMA trend 100:+32.3% | MA kesisme 50/200:+31.9%
2026-09-20 04:24:06,BTC/USDT,Destek/Direnc kirilmasi,7.44,Destek/Direnc kirilmasi:+7.4% | ATR kirilma:+6.4% | Donchian 20/10:+6.3% | SMA trend 100:+5.7% | SMA trend 200:+4.9%
2026-09-20 04:24:06,ETH/USDT,Tepe/Dip (rejim uyarlanabilir),10.79,Tepe/Dip (rejim uyarlanabilir):+10.8% | RSI 30/60:+9.4% | Bollinger 20/2:+3.3% | Dusuk oynaklik:+2.6% | Destek/Direnc kirilmasi:+2.6%
2026-09-20 04:24:06,ZEC/USDT,MA kesisme 50/200,126.83,MA kesisme 50/200:+126.8% | Destek/Direnc kirilmasi:+124.8% | Momentum 90:+116.0% | Momentum 180:+115.5% | SMA trend 200:+106.5%
2026-09-20 04:24:06,XRP/USDT,Donchian 20/10,22.91,Donchian 20/10:+22.9% | Donchian 55/20:+15.0% | ATR kirilma:+14.9% | RSI 30/60:+13.6% | Destek/Direnc kirilmasi:+12.6%
2026-09-20 04:24:06,SOL/USDT,MACD,24.84,MACD:+24.8% | Donchian 20/10:+22.5% | Destek/Direnc kirilmasi:+20.9% | ATR kirilma:+19.2% | Donchian 55/20:+17.2%
